provinceid,province_shorthand,noc_groupingid,noc_grouping,r2,euclidean distance,mae,rmse,mse,Average Actual,CV RMSE,CV MAE,MAPE,Model
10,NL,34,General trades [73],0.8011900142385534,3.197561562775558,0.5469999980926513,0.714996501660661,0.5112199973869835,9.439999999999998,0.07574115483693444,0.05794491505218766,5.423192230283407,XGB
13,NB,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.7905907692493471,5.23036312144658,0.9504999780654906,1.169544748656254,1.3678349191094203,10.075,0.11608384602047186,0.09434242958466409,10.536419715954978,XGB
11,PE,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.787462166241802,2.9509490210338924,0.5514999842643737,0.659852260916824,0.43540500623704437,4.980000000000001,0.13250045399936222,0.11074296872778586,11.935552383873212,XGB
35,ON,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.771022978234527,37.47680222425796,7.127500534057619,8.380067735275611,70.2255352478073,98.75,0.08486144542051252,0.07217722059805184,7.331477593865262,XGB
35,ON,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.7700858783632135,35.70051307967869,6.715499839782713,7.982877407778194,63.726331707615486,68.85,0.11594593184863028,0.09753812403460732,9.757139961118824,XGB
35,ON,19,Professional occupations in education services [412],0.7661439618693429,64.29168524412673,11.034500122070309,14.376057859388753,206.67103957649314,322.315,0.04460250953070367,0.034235143018693855,3.403601356345007,XGB
46,MB,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.7621032985732673,6.580015571251468,1.2630000972747801,1.4713362110325392,2.164830245895589,14.175,0.10379796903227789,0.08910053596294745,9.07123719985808,XGB
47,SK,15,Assisting occupations in education and in legal and public protection [43],0.752793088649796,5.534609543520345,0.8955000638961789,1.2375763168230571,1.531595139961324,9.719999999999999,0.1273226663398207,0.09212963620331059,9.061925991384996,XGB
13,NB,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.7443216599695596,5.241678587978391,0.9199999785423281,1.1720749638924792,1.3737597209835564,6.9,0.16986593679601147,0.1333333302235258,13.115095522872238,XGB
10,NL,41,"Total, all occupations [00-95]",0.7367109196410044,20.629206130370072,4.141000671386716,4.612830722936287,21.2782072784649,245.70999999999998,0.018773475735363993,0.01685320366035862,1.688181703689336,XGB
11,PE,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.735552683090937,2.644711573798977,0.49949999451637267,0.5913754859894963,0.349724965429313,3.155,0.18744072456085462,0.1583201250448091,16.913201735976344,XGB
