provinceid,province_shorthand,noc_groupingid,noc_grouping,r2,euclidean distance,mae,rmse,mse,Average Actual,CV RMSE,CV MAE,MAPE,Model
35,ON,19,Professional occupations in education services [412],0.886016105569736,44.88510666134148,8.446000000000002,10.036614967208818,100.73364000000008,322.315,0.031139149487950664,0.026204179141523048,2.600163761838255,LGBM
35,ON,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.8461644379262884,29.20249818080638,5.702499999999999,6.5298771045097,42.63929499999999,68.85,0.09484207849687293,0.08282498184458968,8.253678464177424,LGBM
35,ON,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.8150372930541177,33.68283687577399,5.9174999999999995,7.531711292926728,56.726675,98.75,0.07627049410558712,0.05992405063291139,5.910890972453867,LGBM
13,NB,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.8068471916563008,5.0232459625226396,0.8569999999999999,1.1232319439901983,1.26165,10.075,0.11148704158711646,0.08506203473945409,9.805180939558403,LGBM
47,SK,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.7998237783005788,6.689977578437763,1.2290000000000003,1.4959244633336268,2.2377899999999995,12.969999999999999,0.11533727550760424,0.09475713184271399,10.598319795810866,LGBM
10,NL,41,"Total, all occupations [00-95]",0.7958978876942819,18.16309445001043,3.2049999999999996,4.061391387197247,16.49489999999998,245.70999999999998,0.016529206736385364,0.013043832159863253,1.2931368594008623,LGBM
46,MB,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.794821088373302,6.091173942681329,1.086,1.3620278998610857,1.8551199999999999,10.155,0.13412387000109166,0.10694239290989661,11.948943397728321,LGBM
47,SK,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.7942986916539789,7.244908557048875,1.4555000000000002,1.62001080243312,2.624435000000001,21.044999999999998,0.07697841779202282,0.06916132097885486,7.255377843730192,LGBM
13,NB,36,"Trades, transport and equipment operators and related occupations, except management [72-75]",0.7817262084765447,9.630685333869026,1.8854999999999993,2.15348670764414,4.637504999999999,65.885,0.03268553855421021,0.0286180465963421,2.898058012142967,LGBM
11,PE,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.776475925820904,2.4314810301542553,0.41850000000000004,0.543695686942613,0.29560499999999995,3.155,0.17232826844456833,0.13264659270998416,13.474698648673483,LGBM
24,QC,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.774801525807878,22.187417605480814,4.031499999999999,4.961257401103071,24.614074999999993,39.99499999999999,0.1240469408951887,0.10080010001250157,10.444966714759092,LGBM
11,PE,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.7619276579127209,3.1231874743601287,0.5855,0.698365949914513,0.48771499999999995,4.980000000000001,0.140234126488858,0.11757028112449797,12.799072540036658,LGBM
47,SK,15,Assisting occupations in education and in legal and public protection [43],0.7605026147588612,5.4476233349966465,0.8539999999999995,1.218125609286661,1.4838299999999993,9.719999999999999,0.12532156474142606,0.08786008230452672,8.753147776137796,LGBM
46,MB,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.7600890122117063,6.607813556691804,1.1599999999999997,1.4775520295407534,2.183159999999999,14.175,0.10423647474714309,0.08183421516754848,8.011736364387342,LGBM
