provinceid,province_shorthand,noc_groupingid,noc_grouping,r2,euclidean distance,mae,rmse,mse,Average Actual,CV RMSE,CV MAE,MAPE
24,QC,52,"Professional occupations in law, education, social, community and government services [41]",0.879941638935343,33.39110475987127,5.732259733841959,7.286536433348111,53.093613194509416,350.41428571428565,0.020794062144170893,0.01635852180557451,1.6726236797903475
13,NB,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.8785915444682708,4.044544973682971,0.6934078653338721,0.8825920711216853,0.7789687640068659,9.976190476190476,0.0884698496112429,0.06950627767069839,7.379603516957105
35,ON,19,Professional occupations in education services [412],0.8479144590351516,52.34814063022284,9.776012330570378,11.42330080610426,130.49180130674225,323.2190476190476,0.035342288427159745,0.03024578038511078,3.086625549881905
24,QC,19,Professional occupations in education services [412],0.8478312226142455,37.536799101753374,6.849431768288944,8.191201106196916,67.09577556216158,222.46190476190475,0.03682069123234267,0.030789234568586985,3.0180250322818516
24,QC,28,"Occupations in education, law and social, community and government services, except management [41-45]",0.846609891024681,60.562791567409406,10.529687414029942,13.21588460264223,174.65960583035599,574.3095238095239,0.023011780328799535,0.01833451645409633,1.8550482882552157
47,SK,15,Assisting occupations in education and in legal and public protection [43],0.8389203634324337,4.478061418746158,0.7349710117060526,0.9771931151459814,0.9549063842887073,9.757142857142854,0.10015156377777265,0.075326458007941,8.044158152826292
11,PE,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.8214560845873359,2.277750227361116,0.4110711307558261,0.4970458490992946,0.24705457610683876,3.076190476190476,0.16157837199822273,0.13362993414663077,14.704631391854651
11,PE,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.8168862686202005,2.8998458109096164,0.5238078793762856,0.6327982348663771,0.4004336060500025,4.871428571428572,0.12989993091098648,0.1075265441534897,12.6580563038331
11,PE,41,"Total, all occupations [00-95]",0.8132605215367997,7.986019760469454,1.5549995339332785,1.7426923835125894,3.03697674355279,93.03333333333333,0.018731913832095194,0.01671443425940464,1.6719209948877107
47,SK,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.8092678052177378,7.2289749117291455,1.3032551267104884,1.5774916538064534,2.4884799178290193,20.833333333333332,0.07571959938270977,0.06255624608210344,6.467655773893981
46,MB,15,Assisting occupations in education and in legal and public protection [43],0.7907533516632739,6.788701986013439,1.1905286142684832,1.4814162248287441,2.1945940311858485,13.338095238095237,0.11106655023707115,0.08925776829574492,8.922569369556694
47,SK,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.7803452865407084,7.09125287552795,1.298354490362011,1.5474382416276236,2.394565111651591,12.857142857142858,0.1203563076821485,0.10098312702815641,11.133197465940858
13,NB,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.7702099224801947,5.084382560900816,0.8483513544439172,1.1095032355924481,1.2309974297901116,6.79047619047619,0.16339107957532548,0.12493252765303128,12.310369485816192
10,NL,34,General trades [73],0.7539858565814607,3.666777697895482,0.6165929237541212,0.8001564931991413,0.6402504136087473,9.352380952380951,0.0855564478471587,0.06592897860914738,6.125293463231276
35,ON,15,Assisting occupations in education and in legal and public protection [43],0.7475653549201027,34.00144503142964,5.672367896059219,7.419723599733643,55.05229829644437,78.35238095238095,0.09469684915182112,0.07239560338959743,7.200971372436574
46,MB,28,"Occupations in education, law and social, community and government services, except management [41-45]",0.7444758447397899,14.678685508843403,2.727823145070228,3.203151783177442,10.260181346072827,95.77142857142857,0.03344579725871434,0.028482640237905126,2.923030803337286
35,ON,28,"Occupations in education, law and social, community and government services, except management [41-45]",0.7362592001094339,95.63546471320815,16.979937877062266,20.869369341454977,435.5305767100609,942.4857142857143,0.022142902566190444,0.018016122281419328,1.8187688996655529
10,NL,2,"Sales and service occupations, except management [62-65]",0.7328731078956352,7.856405215448491,1.4035018080483492,1.714408170954217,2.9391953766345837,55.82857142857142,0.03070843704370399,0.025139489908747304,2.507469061407738
35,ON,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.7327203994312785,39.00967020396369,7.206431788201834,8.512607930710809,72.46449378200057,68.25238095238095,0.12472250508960232,0.10558506073553235,10.508634970853382
10,NL,41,"Total, all occupations [00-95]",0.7033913600510595,22.80713477670193,4.006266477279614,4.976924833299827,24.76978079631651,245.13809523809522,0.020302535305521934,0.01634289633110043,1.6358495074011918
12,NS,15,Assisting occupations in education and in legal and public protection [43],0.6933611743469154,4.189720587610041,0.7325172347480701,0.9142719873065656,0.8358932667734968,6.314285714285714,0.14479420613452396,0.11600951681530522,14.601739436765913
46,MB,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.6933082735525816,7.464938212790436,1.2158719990848035,1.6289830675371686,2.6535858343228034,10.109523809523811,0.16113351115534874,0.12026995751663151,11.852668113024652
48,AB,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.6892165953261482,16.775656782660725,3.0160435291229226,3.660748430435339,13.401079070934797,36.43333333333334,0.10047799900554451,0.08278253053402349,8.138859206686314
35,ON,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.6884121559627894,44.137578544336456,8.39584470719871,9.631609270070504,92.76789713130808,98.21904761904764,0.09806253983878625,0.085480819766883,8.75944197211553
10,NL,42,"Occupations in art, culture, recreation and sport, except management [51-55]",0.6864539841327418,2.901938792546827,0.4909887124618383,0.6332549609035518,0.40101184550895896,4.690476190476192,0.13500867186776228,0.10467779656546804,10.934154453048665
12,NS,5,"Workers and labourers in natural resources, agriculture and related production [84-85]",0.680759721036065,4.323738051284795,0.772443088625454,0.9435169954844491,0.8902243207680021,7.299999999999999,0.12924890349102044,0.10581412172951425,10.945357807446781
12,NS,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.6801563001476517,5.8176671520705385,1.033225409520629,1.2695190520200672,1.6116786234419302,13.723809523809521,0.09250485805836717,0.0752870700899834,7.479393669287475
35,ON,6,Nursing and allied health professionals [313],0.6661767545257611,21.216907157408837,3.7679869139767996,4.6299087172226825,21.436054729814586,163.83809523809524,0.028259048730359917,0.022998234375839328,2.298924167101685
24,QC,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.6599922092655492,35.41014176948405,6.217907490607788,7.7271264298941995,59.70848286356948,59.81904761904762,0.12917501594314454,0.10394527726696667,10.739769816261841
10,NL,22,"Labourers in processing, manufacturing and utilities [95]",0.643081170454779,2.5435700600186024,0.43656470570220485,0.5550524921646959,0.3080832690582398,1.6666666666666667,0.33303149529881754,0.2619388234213229,26.84578766635785
10,NL,37,"Natural resources, agriculture and related production occupations, except management [82-85]",0.6383997283537153,5.142439967420188,0.8812806882453392,1.1221724003556788,1.2592708961200259,9.247619047619049,0.12134716996637102,0.09529811767843523,9.939114146768855
